error,response,target,subject
-0.078532064,-2.508321635,-2.429789571,2
-0.069107232,-1.249270846,-1.180163614,2
-0.051851902,-3.128853972,-3.07700207,2
0.067394195,2.354196206,2.286802011,2
-0.48080785,2.052489237,2.533297088,2
0.346943041,2.775371019,2.428427978,2
-0.033598271,-0.079957374,-0.046359103,2
0.02926649,1.821806487,1.792539997,2
-0.027613635,-2.414806387,-2.387192752,2
-0.010041179,0.673872606,0.683913785,2
-0.237346157,-2.27638928,-2.039043124,2
-0.01690611,1.824114603,1.841020713,2
-0.140748475,1.112687668,1.253436144,2
0.125642057,0.009160241,-0.116481816,2
-0.122792911,3.007682332,3.130475244,2
0.011559482,0.653341128,0.641781646,2
-0.19505936,-1.971923223,-1.776863863,2
-0.164520024,-2.628107001,-2.463586977,2
-0.143965631,1.282413566,1.426379197,2
-0.019468214,2.320838264,2.340306478,2
0.228092391,1.258916199,1.030823809,2
0.159801218,2.126529469,1.966728251,3
0.216770614,0.923145846,0.706375233,3
0.135153372,0.461134488,0.325981116,3
0.139342919,0.520062579,0.38071966,3
0.056453842,1.673395716,1.616941874,3
-0.182890294,-1.366630446,-1.183740152,3
0.061408546,-2.930261489,-2.991670036,3
-0.130019796,1.045877527,1.175897324,3
0.230855543,1.496204066,1.265348523,3
-0.001262354,-2.200146728,-2.198884374,3
-0.00500121,1.848566358,1.853567568,3
0.446286585,-2.284036599,-2.730323184,3
0.064937596,0.729162974,0.664225378,3
-0.077707984,-0.725088475,-0.64738049,3
0.111549596,-2.843812758,-2.955362354,3
-0.000853826,1.78981192,1.790665745,3
0.05087267,1.25981356,1.208940891,3
-0.006461682,1.801134961,1.807596643,3
0.036720888,0.108841839,0.072120951,3
0.065568753,-0.974443209,-1.040011961,3
-0.064637024,-1.117198631,-1.052561606,3
0.11973357,-2.871320158,-2.991053728,3
-0.146354121,-0.546579362,-0.400225241,3
-0.069253106,-2.151516132,-2.082263026,3
-0.071544777,-2.317876438,-2.24633166,3
0.102836363,1.816133638,1.713297275,3
0.078976318,-1.932195373,-2.011171691,3
0.127612199,0.698786562,0.571174363,3
-0.120378955,-2.227902668,-2.107523713,3
-0.049741582,-2.36295921,-2.313217628,3
-0.167224715,-2.235573229,-2.068348514,3
-0.057195422,-0.595764818,-0.538569396,3
-0.159414073,2.31677177,2.476185843,3
-0.106871373,-1.564238973,-1.457367601,3
-0.103900542,1.513008945,1.616909487,3
-0.145177403,-0.537254683,-0.39207728,3
0.030559356,-1.097959205,-1.128518561,3
-0.195528374,-0.576859117,-0.381330743,3
-0.028365766,1.884855879,1.913221645,3
