error,nontarget_error_1,nontarget_error_2,nontarget_error_3,nontarget_error_4,nontarget_error_5,setsize,response,target,nontarget_1,nontarget_2,nontarget_3,nontarget_4,nontarget_5,subject
-1.284340349,-1.37867618,-0.968830068,-0.759202894,-0.549757613,1.473209603,6,-1.711409255,-0.427068906,-1.545042718,-1.340119661,-1.235306075,-1.130583434,-0.119099826,1
-1.517569381,2.299047376,-2.253326814,-2.123980289,-1.448775254,-0.135124575,6,1.397319649,2.914889031,-1.293409141,-0.428003582,-0.36333032,-0.025727802,0.631097537,1
-0.168872402,-0.384931257,-0.00787295,0.086152245,0.829489971,2.897215415,6,-0.073138112,0.095734291,-0.229034684,-0.040505531,0.006507066,0.37817593,1.412038652,1
-0.163646741,-0.099445754,1.105436917,1.426846019,1.923222974,2.749702691,6,-1.025870028,-0.862223287,-0.562657891,0.039783445,0.200487996,0.448676473,0.861916332,1
0.014982162,-2.638499495,-2.627896805,-2.349933664,-0.975617382,-0.232124431,6,-0.217883914,-0.232866076,-1.428191704,-1.42289036,-1.283908789,-0.596750648,-0.225004173,1
2.714281729,-0.199761584,0.134391026,0.789716543,1.063884492,1.089008445,6,-2.174034419,1.394869159,-1.186898002,-1.019821697,-0.692158938,-0.555074964,-0.542512987,1
-1.227862889,0.152857809,0.418939795,0.513421167,2.551360729,-2.449551265,6,-2.385656031,-1.157793142,-1.116399111,-0.983358118,-0.936117432,0.082852349,0.723989006,1
0.307247045,-2.624345092,-1.477957643,-1.201979705,-1.040538656,-0.224516885,6,-0.426409039,-0.733656083,-1.525377065,-0.952183341,-0.814194372,-0.733473847,-0.325462962,1
0.153973833,1.958981165,-2.984776049,-1.364160362,0.03932866,0.395959434,6,1.745787008,1.591813176,-1.289208567,-0.61949452,0.190813323,0.892557834,1.070873221,1
-1.785544761,-0.712153886,2.539466104,3.023306304,-2.512046279,-2.088581668,6,-1.619567145,0.165977616,-1.165860515,0.45994948,0.701869579,1.075785941,1.287518247,1
2.27729519,1.298881687,1.743100606,-1.531268669,-1.52103308,0.481132943,6,2.397457136,0.120161946,-1.293423242,-1.071313783,0.433094233,0.438212028,1.439295039,1
-1.771297591,-0.871538973,-0.357525693,0.515888063,1.915026786,-2.114075599,6,-1.245341578,0.525956013,-1.058440275,-0.801433635,-0.364726757,0.334842604,1.461884065,1
-3.033777034,1.810578106,-3.072277522,-2.27611706,-1.510238505,0.675707194,6,2.060753653,-1.18865462,-1.205926774,-0.505761935,-0.107681704,0.275257574,1.368230424,1
-2.012631622,-0.256099208,0.200392145,1.492030248,3.104725668,-2.421317562,6,-2.060753653,-0.048122032,-1.158426431,-0.930180754,-0.284361703,0.521986008,0.900557046,1
1.216822762,0.382631424,0.705327437,2.048859782,-1.501915815,-1.297894072,6,3.03642653,1.819603768,-1.432063676,-1.27071567,-0.598949497,0.767255358,0.869266229,1
1.025676046,2.888728891,3.088910963,-2.274714852,-1.279419758,-0.448121893,6,1.619567145,0.593891099,-0.887444635,-0.787353599,-0.327573854,0.170073694,0.585722626,1
-1.396873558,0.377386153,1.796836437,1.86478484,-2.540518732,-1.476199885,6,-2.935429437,-1.538555879,-1.279021642,-0.5692965,-0.535322298,0.403618569,0.935777993,1
2.058336973,1.732175817,2.474860065,-3.012899178,-2.810561524,-1.170997395,6,2.553123523,0.49478655,-0.998942983,-0.627600859,-0.229887827,-0.128719,0.691063064,1
2.804485965,-0.872472364,0.518209788,2.452194139,-2.985774303,-2.522627005,6,-1.490838953,1.98786039,-1.181655658,-0.486314582,0.480677593,0.903286026,1.134859675,1
-0.571143827,1.20117113,1.599828336,2.98220638,-2.312019703,-0.775266255,6,2.256844208,2.827988035,-1.412584985,-1.213256382,-0.52206736,-0.027587748,0.740788977,1
1.653132019,1.400729205,1.914738534,2.86505956,-3.05091041,0.14547053,6,1.854590436,0.201458417,-1.513932833,-1.256928169,-0.781767656,-0.598159987,1.000030483,1
2.564025617,1.546824725,1.704681138,1.867980526,-0.96386406,0.144732164,6,2.22838171,-0.335643907,-1.253989436,-1.175061229,-1.093411535,0.632258825,1.186556937,1
-0.138344652,-0.129138843,1.443700761,1.911509675,-2.593153448,-2.117915617,6,-2.255387544,-2.117042892,-1.192263194,-0.405843391,-0.171938934,0.717322158,0.954941073,1
-1.627898049,-2.584884108,-0.247776624,-0.15976555,0.33655706,2.018586523,6,0.917143021,2.54504107,-0.833870544,0.334683199,0.378688736,0.62685004,1.467864772,1
-2.017163983,0.120328983,1.238201119,-1.879037467,-1.770590743,-0.874635592,6,-2.331809081,-0.314645098,-1.105740049,-0.546803981,1.03616938,1.090392742,1.538370317,1
-1.664881888,2.901233336,-0.862453973,-0.770030261,0.57161467,0.792215974,6,1.943242008,-2.675061411,-0.719354982,0.540394017,0.586605873,1.257428339,1.367728991,1
-0.126290513,1.855941911,2.596446425,-2.521035039,0.714070867,1.057219307,6,1.343212313,1.469502826,-1.542015542,-1.171763285,-0.588911363,1.02864159,1.20021581,1
-2.496499172,2.300674326,-0.799792503,0.506896354,1.19118485,1.635232136,6,1.426716196,-2.359969939,-1.277897392,0.313461847,0.966806275,1.308950523,1.530974166,1
-2.374447226,-0.997968553,0.378856556,0.495701873,0.676946046,-3.074567542,6,-1.587056131,0.787391095,-1.292512342,-0.604099788,-0.545677129,-0.455055043,0.810780817,1
-1.875635588,0.101836817,1.945312733,2.248897559,2.504235039,-0.906313382,6,3.047911228,-1.359638492,-1.566718631,-0.644980673,-0.49318826,-0.36551952,1.070798923,1
-0.96892727,0.035049496,1.2199753,1.850106723,1.870067743,-0.884595793,6,-2.429153343,-1.460226073,-1.197051923,-0.604589021,-0.28952331,-0.2795428,1.484718086,1
0.308685627,1.812344323,-2.522843303,-2.49338924,-2.036471137,0.751182888,6,1.760699739,1.452014113,-1.355070622,-0.381071782,-0.36634475,-0.137885699,1.255941314,1
-0.477805695,0.530248801,1.278614114,1.914784769,-2.013957453,-0.733920042,6,-3.018292312,-2.540486617,-1.244021756,-0.869839099,-0.551753772,0.625467771,1.265486476,1
-1.535626146,-1.17398246,-0.239073149,2.792823121,2.98248758,-2.573196567,6,-1.038292228,0.497333917,-1.106137344,-0.638682689,0.877265446,0.972097676,1.335848256,1
-1.536605916,-1.737096962,-0.747072045,-0.073631134,0.511624068,1.503946844,6,0.761012754,2.29761867,-0.488042104,0.006970354,0.34369081,0.636318411,1.132479799,1
0.035550338,0.362389478,0.885699454,1.403392661,1.56345993,-2.982528589,6,-0.463087542,-0.498637879,-0.050349032,0.211305956,0.470152559,0.550186194,1.418784588,1
0.054747815,1.067844745,1.542758461,-1.682483612,-0.704000447,-0.126038952,6,2.76861885,2.713871036,-1.223360856,-0.985903998,0.543067619,1.032309202,1.321289949,1
0.404985831,0.388067267,0.784537425,2.184302276,-2.208170472,-1.285488063,6,-1.893546548,-2.298532378,-0.75273964,-0.554504561,0.145377864,1.090734144,1.552075348,1
-1.315765869,1.968472899,-1.087490049,-0.559371253,-0.162073529,-0.036825772,6,1.219833806,2.535599675,-1.547439301,0.066171878,0.330231276,0.528880139,0.591504017,1
-0.850153383,2.724915175,-1.476066637,0.032617984,0.102735624,1.609072648,6,1.313718186,2.163871568,-1.122275973,-0.081174226,0.673168085,0.708226905,1.461395417,1
-0.189726059,2.246730881,-0.250701134,-0.143504202,0.909444612,0.947250231,6,1.693718239,1.883444297,-1.171368094,0.721508552,0.775107018,1.301581425,1.320484235,1
-2.421103203,-1.057842951,-0.419507126,0.347704429,0.676018384,3.101857157,6,-0.601840469,1.819262734,-0.82984171,-0.510673797,-0.12706802,0.037088958,1.250008344,1
0.23062237,-1.80609742,3.099073892,NaN,NaN,NaN,3,-0.981772155,-1.212394525,-1.393934788,1.058650868,NaN,NaN,NaN,2
0.688232317,2.700138878,1.059649576,NaN,NaN,NaN,3,0.841815003,0.153582686,-1.370615713,0.950732289,NaN,NaN,NaN,2
-0.526839079,-1.110205195,-0.159398221,NaN,NaN,NaN,3,2.576176845,3.103015924,0.732985825,1.208389312,NaN,NaN,NaN,2
-0.077935605,2.770140909,-1.543966704,NaN,NaN,NaN,3,2.032977661,2.110913266,-0.740033369,0.244505479,NaN,NaN,NaN,2
-0.301177509,-0.193637284,0.722066634,NaN,NaN,NaN,3,1.047102744,1.348280253,0.42673273,0.884584689,NaN,NaN,NaN,2
-0.317268954,-1.832736654,-0.428971589,NaN,NaN,NaN,3,-0.688437366,-0.371168412,-1.26058701,-0.558704478,NaN,NaN,NaN,2
0.25903187,-2.656241561,-1.536425672,NaN,NaN,NaN,3,-2.689217451,-2.948249322,0.468863148,1.028771092,NaN,NaN,NaN,2
-0.772468765,2.217674279,-1.494109744,NaN,NaN,NaN,3,2.209678506,2.982147272,-0.927916261,0.357784381,NaN,NaN,NaN,2
2.771026503,-2.560727632,1.204837268,NaN,NaN,NaN,3,1.89740705,-0.873619453,-0.331660291,1.551122159,NaN,NaN,NaN,2
-0.617749441,-2.958747751,-0.222053088,NaN,NaN,NaN,3,1.260462011,1.878211452,-0.84914287,0.519204462,NaN,NaN,NaN,2
-0.133176815,-0.049688824,-2.957041742,NaN,NaN,NaN,3,-2.363463793,-2.230286978,-1.206576308,0.481339886,NaN,NaN,NaN,2
-0.32151971,-0.098303357,1.114394298,NaN,NaN,NaN,3,1.660899253,1.982418963,0.781297948,1.387646775,NaN,NaN,NaN,2
0.151286719,-2.172785305,2.349621833,NaN,NaN,NaN,3,-0.048248011,-0.19953473,-1.110516658,1.150686911,NaN,NaN,NaN,2
-0.672579852,-2.588540596,0.165611729,NaN,NaN,NaN,3,2.66608025,-2.944525205,0.038769827,1.41584599,NaN,NaN,NaN,2
-0.393644514,-1.240298202,-0.775125278,NaN,NaN,NaN,3,-2.994671363,-2.60102685,1.024107871,1.256694333,NaN,NaN,NaN,2
1.127383507,0.475274601,1.78889123,NaN,NaN,NaN,3,1.26238362,0.135000113,0.868829111,1.525637425,NaN,NaN,NaN,2
0.56978558,0.320383724,1.986841914,NaN,NaN,NaN,3,-2.197035226,-2.766820806,-0.938325751,-0.105096656,NaN,NaN,NaN,2
-1.397161219,2.98783317,-1.017421793,NaN,NaN,NaN,3,0.188122469,1.585283688,-1.553614834,-0.414649662,NaN,NaN,NaN,2
-0.17751539,-0.411538734,0.048910366,NaN,NaN,NaN,3,1.570796327,1.748311716,0.579628796,0.809853347,NaN,NaN,NaN,2
0.206052,-0.564038247,-2.153133365,NaN,NaN,NaN,3,-2.31603476,-2.522086761,-1.440036504,0.907008591,NaN,NaN,NaN,2
0.271913095,3.133168988,-2.565442031,NaN,NaN,NaN,3,0.703073801,0.431160706,-1.223471259,-0.931184115,NaN,NaN,NaN,2
