response,pairA_1,pairA_2,pairB_1,pairB_2,subject
1,0.610865238,2.094395102,3.141592654,5.410520681,1
1,0.698131701,0.959931089,1.396263402,4.537856055,1
0,2.967059728,3.926990817,0.698131701,2.181661565,1
1,0.872664626,0.959931089,1.221730476,3.577924967,1
1,1.570796327,1.745329252,3.054326191,3.316125579,1
1,5.235987756,5.410520681,2.094395102,2.35619449,1
0,1.745329252,5.323254219,0.34906585,1.047197551,1
1,0.698131701,1.134464014,4.188790205,4.537856055,1
1,0.174532925,0.436332313,0.959931089,3.752457892,1
1,3.577924967,4.01425728,1.047197551,3.403392041,1
0,1.745329252,4.01425728,0,1.308996939,1
1,0.174532925,0.523598776,2.268928028,4.188790205,1
1,5.235987756,5.585053606,1.308996939,4.36332313,1
1,2.35619449,2.792526803,0.785398163,2.00712864,1
1,0.698131701,2.35619449,2.792526803,5.585053606,1
1,4.71238898,5.323254219,1.308996939,3.665191429,1
1,2.268928028,3.403392041,0.698131701,2.094395102,1
0,3.228859116,4.886921906,2.967059728,3.141592654,1
1,5.672320069,6.021385919,1.658062789,1.919862177,1
1,0.436332313,2.094395102,4.450589593,6.021385919,1
0,2.967059728,6.195918845,0,2.879793266,1
0,2.617993878,4.188790205,0.872664626,1.396263402,1
1,2.35619449,2.530727415,3.316125579,6.108652382,1
1,0,1.221730476,4.101523742,5.759586532,1
0,0.174532925,1.221730476,3.141592654,3.403392041,1
1,4.625122518,5.061454831,1.308996939,1.745329252,1
1,2.705260341,2.967059728,0.087266463,1.658062789,1
1,4.886921906,5.672320069,1.483529864,3.752457892,1
1,1.483529864,1.658062789,2.181661565,2.617993878,1
1,4.625122518,5.672320069,0.174532925,4.36332313,1
1,0.087266463,0.785398163,4.188790205,5.846852994,1
1,1.919862177,2.181661565,3.752457892,4.71238898,1
0,4.276056667,5.497787144,1.134464014,1.308996939,1
0,1.832595715,2.879793266,1.047197551,1.570796327,1
1,3.665191429,4.537856055,1.308996939,3.141592654,1
0,1.396263402,3.228859116,1.134464014,1.221730476,1
1,3.665191429,4.799655443,0.087266463,2.879793266,1
0,1.919862177,4.450589593,0.959931089,1.832595715,1
1,1.047197551,1.134464014,1.221730476,4.101523742,1
0,0.261799388,1.745329252,2.705260341,3.839724354,1
1,3.577924967,4.101523742,4.36332313,5.061454831,1
1,5.497787144,5.585053606,2.792526803,4.886921906,2
0,1.919862177,3.839724354,0.698131701,1.745329252,2
1,5.323254219,6.108652382,3.926990817,4.450589593,2
0,0.087266463,1.658062789,2.530727415,3.141592654,2
1,1.134464014,2.181661565,3.926990817,5.323254219,2
1,0.087266463,2.879793266,3.665191429,5.410520681,2
1,4.276056667,4.537856055,0.087266463,2.792526803,2
1,2.617993878,2.879793266,5.148721293,5.235987756,2
1,0,0.610865238,2.443460953,4.537856055,2
1,3.403392041,3.490658504,4.36332313,4.974188368,2
1,1.832595715,3.926990817,5.235987756,5.846852994,2
1,4.886921906,6.021385919,1.832595715,2.879793266,2
0,5.410520681,6.108652382,2.792526803,3.228859116,2
1,2.00712864,2.181661565,4.101523742,6.108652382,2
0,0.523598776,3.403392041,4.01425728,4.276056667,2
1,0.872664626,2.268928028,3.577924967,5.759586532,2
0,4.101523742,6.108652382,0.872664626,1.221730476,2
1,0.959931089,2.181661565,4.101523742,5.235987756,2
1,2.792526803,3.141592654,3.926990817,4.71238898,2
0,0.174532925,3.752457892,4.799655443,5.323254219,2
1,2.35619449,2.443460953,3.054326191,3.752457892,2
1,1.396263402,2.094395102,3.839724354,6.021385919,2
0,1.745329252,3.490658504,5.672320069,5.759586532,2
0,2.705260341,4.71238898,0.174532925,0.698131701,2
0,3.228859116,4.36332313,0.872664626,0.959931089,2
0,2.00712864,3.054326191,5.672320069,5.934119457,2
0,2.268928028,3.141592654,4.886921906,5.061454831,2
0,0.785398163,2.35619449,5.934119457,6.195918845,2
1,0.174532925,0.610865238,2.00712864,4.537856055,2
1,3.141592654,4.101523742,0.785398163,2.181661565,2
1,1.221730476,5.497787144,5.672320069,5.934119457,2
1,4.36332313,5.759586532,0.872664626,3.665191429,2
0,0.785398163,2.094395102,2.967059728,5.323254219,2
0,4.188790205,5.934119457,1.396263402,2.967059728,2
1,0.174532925,2.00712864,2.792526803,5.672320069,2
1,3.054326191,4.276056667,0.436332313,1.745329252,2
0,3.665191429,5.235987756,5.672320069,6.108652382,2
1,3.752457892,4.101523742,0.698131701,2.617993878,2
0,3.490658504,5.323254219,5.672320069,6.108652382,2
1,0,0.436332313,1.483529864,5.759586532,2
0,3.665191429,5.672320069,2.792526803,3.141592654,2
0,3.752457892,6.195918845,2.35619449,2.967059728,2
0,0.261799388,4.01425728,4.188790205,4.71238898,2
0,5.148721293,5.759586532,2.617993878,3.490658504,2
0,1.919862177,2.35619449,2.967059728,3.316125579,2
1,2.792526803,3.839724354,4.101523742,5.410520681,2
1,2.792526803,3.926990817,1.047197551,2.705260341,2
1,2.879793266,3.752457892,1.221730476,1.832595715,2
1,5.148721293,5.410520681,0.087266463,4.36332313,2
1,0.523598776,0.610865238,2.705260341,3.577924967,2
0,4.276056667,4.625122518,1.919862177,2.094395102,2
1,5.323254219,5.846852994,0.785398163,3.665191429,2
0,2.530727415,3.054326191,3.141592654,3.403392041,2
1,0.523598776,1.308996939,1.658062789,3.228859116,2
1,0.087266463,0.523598776,3.577924967,3.926990817,2
0,1.745329252,6.021385919,0.436332313,1.308996939,2
1,4.537856055,6.108652382,2.792526803,4.450589593,2
1,2.181661565,2.967059728,3.054326191,4.36332313,2
1,2.35619449,2.617993878,0.261799388,1.919862177,2
0,3.577924967,5.672320069,2.530727415,3.141592654,2
1,0,3.141592654,3.228859116,6.195918845,2
1,0.523598776,1.308996939,1.570796327,3.839724354,2
1,4.625122518,5.934119457,0.174532925,2.00712864,2
1,0.436332313,3.490658504,3.665191429,6.195918845,2
0,3.577924967,5.148721293,0.610865238,3.490658504,2
1,2.879793266,4.276056667,0,2.530727415,2
1,2.705260341,3.316125579,1.308996939,1.919862177,2
0,2.00712864,4.276056667,0.698131701,0.959931089,2
1,0.174532925,1.221730476,2.00712864,5.235987756,2
0,4.276056667,5.235987756,0.523598776,1.483529864,2
0,0.698131701,5.410520681,5.672320069,5.759586532,2
1,3.926990817,4.188790205,1.570796327,2.705260341,2
1,0.872664626,1.658062789,3.926990817,6.108652382,2
0,0.34906585,0.959931089,2.268928028,3.228859116,2
1,5.061454831,5.759586532,1.308996939,2.967059728,2
0,5.759586532,6.195918845,0.610865238,3.403392041,2
1,1.570796327,3.839724354,4.101523742,6.195918845,2
0,3.577924967,6.021385919,1.570796327,2.443460953,2
1,4.71238898,5.410520681,2.530727415,4.537856055,2
1,0.087266463,0.785398163,3.316125579,5.410520681,2
1,2.530727415,3.054326191,0.872664626,2.00712864,2
1,3.054326191,4.01425728,4.101523742,6.195918845,2
0,0.436332313,1.832595715,4.276056667,4.537856055,2
0,1.745329252,3.141592654,0.34906585,1.134464014,2
0,2.443460953,4.886921906,5.672320069,5.759586532,2
0,3.316125579,5.148721293,0.959931089,2.268928028,2
1,4.01425728,4.537856055,0.087266463,3.141592654,2
1,1.396263402,1.658062789,2.094395102,5.672320069,2
1,4.188790205,4.36332313,1.658062789,4.101523742,2
0,0.872664626,3.577924967,0.087266463,0.34906585,2
0,2.35619449,4.886921906,0.959931089,2.094395102,2
0,2.705260341,6.021385919,2.268928028,2.530727415,2
1,0.785398163,0.872664626,4.188790205,5.759586532,2
0,1.919862177,3.926990817,5.846852994,6.108652382,2
0,3.665191429,6.108652382,0.523598776,1.745329252,2
1,5.672320069,5.759586532,0.087266463,0.785398163,2
1,0.872664626,1.134464014,2.00712864,3.403392041,2
1,5.061454831,5.235987756,2.268928028,2.617993878,2
1,0.436332313,1.134464014,3.316125579,4.101523742,2
1,2.617993878,3.403392041,0.523598776,1.396263402,2
1,0.610865238,0.785398163,4.625122518,5.061454831,2
0,0.698131701,5.235987756,0.261799388,0.436332313,2
0,0.523598776,3.752457892,3.839724354,5.585053606,2
1,6.021385919,6.195918845,1.221730476,4.36332313,2
1,0.436332313,0.610865238,1.832595715,5.497787144,2
1,3.403392041,5.585053606,0.872664626,2.443460953,2
0,3.752457892,4.537856055,0.436332313,1.221730476,2
1,4.625122518,4.71238898,0.785398163,1.919862177,2
